	X	idx	beta	pval	cilb	ciub	i2	tau2	symbol.x	TE.fixed	lower.fixed	upper.fixed	pval.fixed	TE.random	lower.random	upper.random	pval.random	symbol.y
6	ENSG00000033050.6	1140	0.387029494756251	6.99528572446292e-11	0.270698871440219	0.503360118072282	97.2211077670055	0.0745877081811616	ABCF2	1.16439172929102	1.0603109548258	1.27868913649401	0.00144371887950459	1.18409770081286	1.04313985422813	1.34410295933692	0.00897305632863363	ABCF2
12	ENSG00000086232.11	7453	0.491263985538808	5.62540045836021e-10	0.335978659283905	0.646549311793712	98.5654636462624	0.134091292893313	EIF2AK1	1.21362386200923	1.09880305636781	1.34044301196881	0.000134528808277627	1.21389914415729	1.09820498590088	1.34178149899494	0.00014880464932939	EIF2AK1
18	ENSG00000103855.16	10340	0.871069412638367	2.32037924298739e-09	0.58526899954642	1.15686982573031	98.2458660162723	0.429256689523141	CD276	1.22194154221694	1.14821650754189	1.3004003363373	2.7390623163332e-10	1.22683065956465	1.13629796672954	1.32457639749176	1.72413200687059e-07	CD276
30	ENSG00000111640.13	10538	0.839693245687194	3.15766797359604e-11	0.59180010689488	1.08758638447951	97.8806756844196	0.332483668483594	GAPDH	1.17747371170979	1.11350861854625	1.24511325613063	9.88424570358928e-09	1.17941583264676	1.07982376732746	1.28819326670369	0.000246241704370445	GAPDH
31	ENSG00000112242.13	28870	0.691037046674437	1.65523938337246e-08	0.451091381390861	0.930982711958012	97.4917701692036	0.311805322260524	E2F3	1.12757848798473	1.0574100084062	1.20240326501384	0.00024942553807697	1.2300434089312	1.06399296820129	1.42200825858169	0.00513744342886226	E2F3
37	ENSG00000123374.9	5490	0.69480453247137	4.76124164357738e-05	0.359969088344963	1.02963997659778	99.3534499066806	0.638863337677171	CDK2	1.20576015305503	1.12175544990008	1.29605570164585	3.80885061860696e-07	1.25243800612114	1.06087570976499	1.4785907008128	0.00786742453057661	CDK2
38	ENSG00000123416.14	21045	0.453795837065847	9.1282556582607e-07	0.272634161694295	0.634957512437399	95.4594591803134	0.16573987717993	TUBA1B	1.20813439743641	1.13650731862791	1.28427569127419	1.33210334994186e-09	1.21068473533818	1.09209013422327	1.34215801649318	0.000278232138003468	TUBA1B
45	ENSG00000128849.10	15112	-1.90381910922707	3.8277547799967e-10	-2.4998069347563	-1.30783128369784	98.9758115704214	1.9968164075542	CGNL1	0.953601272451988	0.928011344476915	0.979896843108766	0.000618849119000821	0.944625157784737	0.892496914502764	0.999798065651549	0.0491904745523832	CGNL1
46	ENSG00000130429.11	5150	0.652739204858229	2.3269623179672e-05	0.350362111966755	0.955116297749702	97.8164076991126	0.516596393025895	ARPC1B	1.1129301270475	1.05491501507628	1.17413578344073	8.96019062874363e-05	1.12515454474813	1.02472427437487	1.23542769623534	0.0134377252888214	ARPC1B
52	ENSG00000135446.15	5147	0.658292207909198	6.78555972491194e-06	0.371594166007672	0.944990249810724	99.1088506573275	0.474956491490571	CDK4	1.09652347008022	1.04432490098794	1.15133108412844	0.000213237310847835	1.12922459397498	1.04379950613779	1.22164091488814	0.00246148329588916	CDK4
