	idx	beta	pval	cilb	ciub	i2	tau2	symbol
ENSG00000125755	10953	0.350774423281306	7.81399178802552e-27	0.28666815908245	0.414880687480162	82.458449933007	0.0166676266628589	SYMPK
ENSG00000127191	21317	0.77171763611438	1.02973010039149e-19	0.605244151948217	0.938191120280543	95.2996025374794	0.146682088799682	TRAF2
ENSG00000132970	19684	-1.52205760497533	1.15172409782764e-19	-1.85083401195993	-1.19328119799073	97.138449709849	0.569894179118097	WASF3
ENSG00000101412	28609	2.0352725178298	3.87215178905662e-19	1.58909662228033	2.48144841337928	98.0067804911249	1.07252255921978	E2F1
ENSG00000087088	10414	0.767701466351636	3.32907873859304e-15	0.576703140579247	0.958699792124024	96.0128844963149	0.19427348189014	BAX
ENSG00000258947	3144	2.51025142757578	7.94581021858578e-15	1.87691939968396	3.1435834554676	94.6097941128762	2.1152226734867	TUBB3
ENSG00000107562	27267	-2.22944160631427	8.76838559098802e-15	-2.79283160656119	-1.66605160606735	98.5778035108507	1.80971397947559	CXCL12
ENSG00000170345	19761	-1.83474934105362	8.71020101232819e-14	-2.31684943493642	-1.35264924717082	94.5362332705794	1.19616597586911	FOS
ENSG00000174175	30645	-1.97420497790029	3.65105989070507e-13	-2.50659646779726	-1.44181348800331	97.9783735137599	1.56562147861939	SELP
ENSG00000013297	5923	-1.72863805383622	6.26389463873207e-13	-2.19955554745089	-1.25772056022154	96.6752137042283	1.12244072703553	CLDN11
ENSG00000105647	7862	0.694250283913238	7.35733001437731e-13	0.504542109632299	0.883958458194177	92.583353709777	0.178782470824428	PIK3R2
ENSG00000126456	12311	0.477234169815426	1.83750027058524e-12	0.344488898543867	0.609979441086984	92.7778989576548	0.0852094036194313	IRF3
ENSG00000100985	29359	2.21757723989064	4.37634254056287e-12	1.58989363470814	2.84526084507314	95.0034762304763	2.1281294818003	MMP9
ENSG00000105397	809	0.438181400491423	4.41266664961074e-12	0.314133511828258	0.562229289154587	95.4081886832638	0.0804574832666645	TYK2
ENSG00000196914	11938	-0.430379684817199	5.37294830097527e-12	-0.552712525927989	-0.308046843706409	91.9630426574402	0.0690697024935099	ARHGEF12
ENSG00000179915	23301	-3.71187013917719	6.42622183716204e-12	-4.7708619360165	-2.65287834233788	98.5614807865078	6.48056831057358	NRXN1
ENSG00000104695	29833	-0.526758268291162	1.70134433890125e-11	-0.680174191848201	-0.373342344734123	97.7375728364916	0.130284186517872	PPP2CB
ENSG00000150672	4244	-1.79921357859187	2.09674732378417e-11	-2.32560995353039	-1.27281720365335	98.7069840307583	1.59445673027749	DLG2
ENSG00000111640	10538	0.839693245687194	3.15766797359604e-11	0.59180010689488	1.08758638447951	97.8806756844196	0.332483668483594	GAPDH
ENSG00000196230	25179	0.583734449646835	3.68711871094359e-11	0.410808940832774	0.756659958460895	96.6325766187351	0.156227690259417	TUBB
ENSG00000180900	8038	0.650278769653281	3.81719760142123e-11	0.457490686610302	0.843066852696261	96.5653063914522	0.207410943238133	SCRIB
ENSG00000033050	1140	0.387029494756251	6.99528572446292e-11	0.270698871440219	0.503360118072282	97.2211077670055	0.0745877081811616	ABCF2
ENSG00000172260	21798	-2.45134370856631	8.08409345302423e-11	-3.1906151535318	-1.71207226360082	98.4914512146857	3.05519143905695	NEGR1
ENSG00000116473	10170	-0.612446938019173	1.53303071898599e-10	-0.799945268299902	-0.424948607738443	98.1627645936065	0.18696573214518	RAP1A
ENSG00000241685	29540	0.406994007090283	3.18511985319477e-10	0.280164378614977	0.533823635565589	96.6265439480744	0.0878664009258524	ARPC1A
ENSG00000132646	26461	0.977384328326895	3.25437642254523e-10	0.672644799153413	1.28212385750038	98.9263716579316	0.521116215706697	PCNA
ENSG00000077943	24796	-1.76993177515111	3.46122697600902e-10	-2.32262254603856	-1.21724100426366	98.4004204131098	1.67979879217392	ITGA8
ENSG00000144668	22366	-1.37934061247225	3.70144233437187e-10	-1.81078079313198	-0.947900431812519	98.261289489419	0.998223376255722	ITGA9
ENSG00000128849	15112	-1.90381910922707	3.8277547799967e-10	-2.4998069347563	-1.30783128369784	98.9758115704214	1.9968164075542	CGNL1
ENSG00000149294	24301	-2.3499103027014	4.48918627166945e-10	-3.08848375911396	-1.61133684628884	98.6166243174793	2.98428305376275	NCAM1
ENSG00000107186	27069	-1.14513348361211	4.52676951388636e-10	-1.50512264129915	-0.785144325925072	98.0650600077696	0.699591290038199	MPDZ
ENSG00000184216	30258	0.720333001060382	5.61517263507926e-10	0.492650975921636	0.948015026199129	98.1132809092226	0.295289558468226	IRAK1
ENSG00000086232	7453	0.491263985538808	5.62540045836021e-10	0.335978659283905	0.646549311793712	98.5654636462624	0.134091292893313	EIF2AK1
ENSG00000109339	23289	-1.42897459885003	7.99934528864553e-10	-1.88475422934979	-0.973194968350276	98.822055622668	1.15921259002368	MAPK10
ENSG00000133392	7252	-2.99708780241852	9.13921028711214e-10	-3.95633235845695	-2.0378432463801	98.8399972643709	5.05434653342086	MYH11
ENSG00000174775	4095	0.55503601825548	1.19616477870169e-09	0.376135494746457	0.733936541764503	95.3399068779198	0.165209925112038	HRAS
ENSG00000158481	347	-1.25748756954354	1.47644580461984e-09	-1.66507224591361	-0.849902893173458	93.1486931699474	0.80572117533758	CD1C
ENSG00000015475	22028	0.676853639130981	1.96077591764528e-09	0.455789890139179	0.897917388122783	97.5027039857577	0.268727823389878	BID
ENSG00000103855	10340	0.871069412638367	2.32037924298739e-09	0.58526899954642	1.15686982573031	98.2458660162723	0.429256689523141	CD276
ENSG00000183230	11332	-2.88957873322234	2.84313629095172e-09	-3.84295942263585	-1.93619804380883	98.5952751958135	5.1159472285086	CTNNA3
ENSG00000163531	1232	-1.60407198357798	5.05952313312766e-09	-2.14193586434702	-1.06620810280895	98.5243737315203	1.62374116063015	NFASC
ENSG00000112242	28870	0.691037046674437	1.65523938337246e-08	0.451091381390861	0.930982711958012	97.4917701692036	0.311805322260524	E2F3
ENSG00000111331	13558	0.90441888831797	1.98341621735755e-08	0.588636060095484	1.22020171654046	96.8473782208167	0.537594903182647	OAS3
ENSG00000007968	12561	2.10243026963393	2.68382991597028e-08	1.36141969619301	2.84344084307486	98.3669376425831	3.04642493589613	E2F2
ENSG00000175104	4719	-0.297477441699758	4.48991162725849e-08	-0.404059010980625	-0.190895872418892	94.295841041375	0.0569849138115905	TRAF6
ENSG00000154721	4650	-1.74512009752687	5.84561073255935e-08	-2.37578247287655	-1.11445772217719	99.2647450644394	2.23958329410798	JAM2
ENSG00000154654	25385	-1.59575573848651	6.22023178259717e-08	-2.17362352506034	-1.01788795191268	98.1629044079147	1.85874750341372	NCAM2
ENSG00000145675	21810	-0.75630248712932	1.92468165768347e-07	-1.04101093894419	-0.471594035314451	97.8078751456503	0.455519966742715	PIK3R1
ENSG00000198121	2839	-1.05056282563102	1.95802435503926e-07	-1.44628737769052	-0.654838273571514	97.9558176085512	0.820545131929627	LPAR1
ENSG00000125414	5801	-2.80213373400846	2.12547915990954e-07	-3.86074316298005	-1.74352430503687	95.0428753217871	5.61158249447652	MYH2
ENSG00000007908	18012	-1.78343206000485	4.17639529465672e-07	-2.47413437932764	-1.09272974068206	95.0429335441529	2.49959774673231	SELE
ENSG00000164877	9360	0.743666093545751	6.03328378037712e-07	0.451578852317963	1.03575333477354	96.4952101602975	0.449236819415181	MICALL2
ENSG00000111229	28666	0.374920665836856	6.19787070167426e-07	0.227510681457297	0.522330650216416	95.5525414940491	0.11303495432185	ARPC3
ENSG00000159216	21091	0.95672303039459	6.36522576148624e-07	0.580172717276259	1.33327334351292	97.3378724302695	0.749614398209722	RUNX1
ENSG00000169245	20971	1.47301836445767	6.40249953974954e-07	0.893131170475593	2.05290555843975	95.8388430887067	1.84052990363363	CXCL10
ENSG00000151276	6098	-0.727441726411991	6.85305633639996e-07	-1.01457588874945	-0.440307564074532	98.107458593711	0.452980042634817	MAGI1
ENSG00000148948	22966	-1.65681583443996	7.5800832152734e-07	-2.31338244731706	-1.00024922156285	98.0518229746475	2.46076613451668	LRRC4C
ENSG00000136238	18326	0.243807521578898	8.12212908947589e-07	0.146927095759098	0.340687947398697	95.1459325346496	0.0482374498302532	RAC1
ENSG00000123416	21045	0.453795837065847	9.1282556582607e-07	0.272634161694295	0.634957512437399	95.4594591803134	0.16573987717993	TUBA1B
ENSG00000018236	23084	-2.84456934635539	9.73125019036735e-07	-3.98307400158147	-1.70606469112932	99.1771567512296	7.45299504190222	CNTN1
ENSG00000196338	457	-1.20088111517643	9.81930559638947e-07	-1.6816932299778	-0.720069000375051	98.1926225519606	1.28872848801616	NLGN3
